Date,TotalDailyEnergy_GWh,maxtp,mintp,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
01/01/2020,61.625,10,5,0,0,0,0
02/01/2020,69.005,12.2,6.5,0,0,0,0
03/01/2020,69.466,9.3,4.1,0,0,0,0
04/01/2020,61.551,9.9,6.3,0,0,0,0
05/01/2020,60.566,12.2,8,0,0,0,0
06/01/2020,70.731,10.6,5.9,0,0,0,0
07/01/2020,71.849,14.3,7.6,0,0,0,0
08/01/2020,70.834,9.2,4.2,0,0,0,0
09/01/2020,72.527,6.8,1.7,0,0,0,0
10/01/2020,70.558,11.9,3.6,0,0,0,0
11/01/2020,61.72,13.2,6.5,0,0,0,0
12/01/2020,61.445,8.8,3.1,0,0,0,0
13/01/2020,71.374,9.2,3,0,0,0,0
14/01/2020,72.493,5.7,3.4,0,0,0,0
15/01/2020,71.646,8.4,4,0,0,0,0
16/01/2020,71.547,10.7,5.1,0,0,0,0
17/01/2020,70.927,6.5,1.4,0,0,0,0
18/01/2020,55.42,5.3,-2,0,0,0,0
19/01/2020,62.321,8.1,-1.4,0,0,0,0
20/01/2020,72.579,9.6,0.2,0,0,0,0
21/01/2020,72.693,8.7,5.4,0,0,0,0
22/01/2020,71.923,9.9,6.7,0,0,0,0
23/01/2020,72.723,7.3,4.5,0,0,0,0
24/01/2020,72.011,7.9,4.6,0,0,0,0
25/01/2020,63.435,9.5,6.7,0,0,0,0
26/01/2020,65.454,9.6,3.5,0,0,0,0
27/01/2020,73.02,5.4,0.9,0,0,0,0
28/01/2020,74.661,6.3,0.9,0,0,0,0
29/01/2020,73.72,9.7,4.2,0,0,0,0
30/01/2020,71.699,11.4,5.3,0,0,0,0
31/01/2020,70.783,12.7,8.4,0,0,0,0
01/02/2020,62.964,9.8,5.5,0,0,0,0
02/02/2020,61.968,11.1,4.8,0,0,0,0
03/02/2020,71.616,8.6,4.7,0,0,0,0
04/02/2020,73.03,9.9,2.1,0,0,0,0
05/02/2020,73.205,10.2,1.8,0,0,0,0
06/02/2020,73.054,10,4.4,0,0,0,0
07/02/2020,72.68,11.4,4.7,0,0,0,0
08/02/2020,62.976,11.4,3.9,0,0,0,0
09/02/2020,61.587,12.5,4.2,0,0,0,0
10/02/2020,77.369,7.1,0.5,0,0,0,0
11/02/2020,78.595,6.3,2.3,0,0,0,0
12/02/2020,74.568,7.8,2.9,0,0,0,0
13/02/2020,74.878,10,4.2,0,0,0,0
14/02/2020,71.603,11.4,5.2,0,0,0,0
15/02/2020,57.092,11.5,6.8,0,0,0,0
16/02/2020,65.057,9,4.1,0,0,0,0
17/02/2020,76.025,7.9,4,0,0,0,0
18/02/2020,74.533,8.3,3.7,0,0,0,0
19/02/2020,72.169,10.3,4.6,0,0,0,0
20/02/2020,72.876,9.6,2.2,0,0,0,0
21/02/2020,72.272,11,5.9,0,0,0,0
22/02/2020,62.218,10.5,5.5,0,0,0,0
23/02/2020,61.411,12.1,5,0,0,0,0
24/02/2020,71.048,11.3,4.5,0,0,0,0
25/02/2020,73.607,5.7,1.6,0,0,0,0
26/02/2020,73.104,7,2.1,0,0,0,0
27/02/2020,72.723,8.6,0.1,0,0,0,0
28/02/2020,71.547,12.3,4.7,0,0,0,0
29/02/2020,62.127,6.6,1.5,1,1,0,0
01/03/2020,61.844,7.6,2,0,0,0,0
02/03/2020,72.37,7.6,1.5,0,0,0,0
03/03/2020,72.576,9.1,2.7,1,2,0,0
04/03/2020,71.718,10.1,0.7,4,6,0,0
05/03/2020,71.608,8.6,-0.8,7,13,0,0
06/03/2020,69.75,9.3,4.2,5,18,0,0
07/03/2020,60.966,12,7.3,1,19,0,0
08/03/2020,60.251,9.6,5.5,2,21,0,0
09/03/2020,70.954,11.6,6,3,24,0,0
10/03/2020,71.127,11.8,6,10,34,0,0
11/03/2020,70.236,10.8,3,9,43,1,1
12/03/2020,70.697,9,2.6,27,70,0,1
13/03/2020,68.575,9.9,4.8,20,90,0,1
14/03/2020,52.384,11.9,5.9,39,129,1,2
15/03/2020,60.197,10.2,3.5,40,169,0,2
16/03/2020,68.735,10.4,1.9,54,223,0,2
17/03/2020,62.043,13.8,6,69,292,0,2
18/03/2020,68.354,7.9,1.9,74,366,0,2
19/03/2020,69.002,9.4,0.3,191,557,1,3
20/03/2020,68.452,9.3,-1.8,126,683,0,3
