Date,TotalDailyEnergy_GWh,maxtp,mintp,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
01/01/2019,61.121,10.5,8.3,0,0,0,0
02/01/2019,68.553,8.3,6.8,0,0,0,0
03/01/2019,69.883,9.1,6.5,0,0,0,0
04/01/2019,68.946,8.3,5.9,0,0,0,0
05/01/2019,61.873,9.7,4.1,0,0,0,0
06/01/2019,60.818,10.3,5.5,0,0,0,0
07/01/2019,70.467,11.1,6.1,0,0,0,0
08/01/2019,70.07,9.8,6.3,0,0,0,0
09/01/2019,70.076,11.1,8.1,0,0,0,0
10/01/2019,69.743,11.4,8.2,0,0,0,0
11/01/2019,69.538,9.9,7.8,0,0,0,0
12/01/2019,52.154,10.2,8.5,0,0,0,0
13/01/2019,59.95,10.9,8.5,0,0,0,0
14/01/2019,69.542,9.7,6.4,0,0,0,0
15/01/2019,71.208,10.5,4.4,0,0,0,0
16/01/2019,71.292,8.9,3.3,0,0,0,0
17/01/2019,72.085,6.4,0.5,0,0,0,0
18/01/2019,73.182,10.1,4.2,0,0,0,0
19/01/2019,60.232,8.6,3.3,0,0,0,0
20/01/2019,61.034,8.1,-0.4,0,0,0,0
21/01/2019,72.855,6.8,-0.3,0,0,0,0
22/01/2019,72.907,5.9,1.8,0,0,0,0
23/01/2019,72.048,9.6,2.6,0,0,0,0
24/01/2019,71.202,11.6,9.4,0,0,0,0
25/01/2019,69.914,10.5,7.5,0,0,0,0
26/01/2019,60.89,9.9,5.1,0,0,0,0
27/01/2019,60.461,6.9,3.2,0,0,0,0
28/01/2019,70.934,7.3,3.3,0,0,0,0
29/01/2019,72.353,5.2,0.8,0,0,0,0
30/01/2019,69.599,4.8,-0.1,0,0,0,0
31/01/2019,72.394,5.6,-0.3,0,0,0,0
01/02/2019,71.934,4.3,-0.8,0,0,0,0
02/02/2019,62.655,5.7,-3.7,0,0,0,0
03/02/2019,62.874,9.1,0.8,0,0,0,0
04/02/2019,72.249,10.6,3.1,0,0,0,0
05/02/2019,70.374,12.9,3.8,0,0,0,0
06/02/2019,72.051,10.9,2.2,0,0,0,0
07/02/2019,69.975,9.4,4.4,0,0,0,0
08/02/2019,69.911,11.3,4.8,0,0,0,0
09/02/2019,51.959,9.1,3.4,0,0,0,0
10/02/2019,60.515,8.8,2.1,0,0,0,0
11/02/2019,70.197,10.7,5.4,0,0,0,0
12/02/2019,70.424,12.9,9.1,0,0,0,0
13/02/2019,69.645,11.9,9.8,0,0,0,0
14/02/2019,69.441,11.9,7.9,0,0,0,0
15/02/2019,68.578,12.9,7.5,0,0,0,0
16/02/2019,61.156,11.7,6.4,0,0,0,0
17/02/2019,60.129,11,5.7,0,0,0,0
18/02/2019,70.536,10.1,4.2,0,0,0,0
19/02/2019,71.426,11.7,3.7,0,0,0,0
20/02/2019,70.606,15,10.4,0,0,0,0
21/02/2019,69.929,13,11.2,0,0,0,0
22/02/2019,69.133,14.3,11.4,0,0,0,0
23/02/2019,60.413,14.3,6,0,0,0,0
24/02/2019,60.329,12.4,5.2,0,0,0,0
25/02/2019,69.342,13.1,6.9,0,0,0,0
26/02/2019,69.858,15.1,5.9,0,0,0,0
27/02/2019,69.649,13.9,6.2,0,0,0,0
28/02/2019,69.293,12.3,6.2,0,0,0,0
01/03/2019,69.597,10.9,4.3,0,0,0,0
02/03/2019,61.452,11.2,4.5,0,0,0,0
03/03/2019,61.552,8,0.7,0,0,0,0
04/03/2019,71.755,8.2,3.1,0,0,0,0
05/03/2019,70.841,10.1,4,0,0,0,0
06/03/2019,70.591,9.7,3.9,0,0,0,0
07/03/2019,69.592,11.1,4.1,0,0,0,0
08/03/2019,69.911,11.9,3.6,0,0,0,0
09/03/2019,53.118,9.3,2.6,0,0,0,0
10/03/2019,62.219,7,2,0,0,0,0
11/03/2019,71.254,11.4,3.8,0,0,0,0
12/03/2019,72.138,8.8,3.1,0,0,0,0
