Date,TotalDailyEnergy_GWh,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
12/01/2018,70.348,0,0,0,0
13/01/2018,60.924,0,0,0,0
14/01/2018,60.987,0,0,0,0
15/01/2018,70.69,0,0,0,0
16/01/2018,71.804,0,0,0,0
17/01/2018,73.466,0,0,0,0
18/01/2018,74.786,0,0,0,0
19/01/2018,71.41,0,0,0,0
20/01/2018,64.106,0,0,0,0
21/01/2018,64.477,0,0,0,0
22/01/2018,70.746,0,0,0,0
23/01/2018,69.872,0,0,0,0
24/01/2018,70.707,0,0,0,0
25/01/2018,71.092,0,0,0,0
26/01/2018,69.492,0,0,0,0
27/01/2018,62.68,0,0,0,0
28/01/2018,62.23,0,0,0,0
29/01/2018,70.751,0,0,0,0
30/01/2018,71.64,0,0,0,0
31/01/2018,71.199,0,0,0,0
01/02/2018,72.753,0,0,0,0
02/02/2018,71.428,0,0,0,0
03/02/2018,55.809,0,0,0,0
04/02/2018,64.146,0,0,0,0
05/02/2018,72.468,0,0,0,0
06/02/2018,72.17,0,0,0,0
07/02/2018,71.889,0,0,0,0
08/02/2018,69.792,0,0,0,0
09/02/2018,69.02,0,0,0,0
10/02/2018,59.901,0,0,0,0
11/02/2018,60.12,0,0,0,0
12/02/2018,69.993,0,0,0,0
13/02/2018,70.268,0,0,0,0
14/02/2018,70.695,0,0,0,0
15/02/2018,70.517,0,0,0,0
16/02/2018,68.662,0,0,0,0
17/02/2018,59.358,0,0,0,0
18/02/2018,59.511,0,0,0,0
19/02/2018,69.101,0,0,0,0
20/02/2018,69.202,0,0,0,0
21/02/2018,69.282,0,0,0,0
22/02/2018,69.995,0,0,0,0
23/02/2018,68.938,0,0,0,0
24/02/2018,59.99,0,0,0,0
25/02/2018,59.79,0,0,0,0
26/02/2018,70.397,0,0,0,0
27/02/2018,71.151,0,0,0,0
28/02/2018,71.398,0,0,0,0
01/03/2018,66.771,0,0,0,0
02/03/2018,64.335,0,0,0,0
03/03/2018,61.773,0,0,0,0
04/03/2018,61.399,0,0,0,0
05/03/2018,68.995,0,0,0,0
